codigocurva;tenor;DF
Curva_CLF_CL;9310;0,446799608
Curva_CLF_CL;9494;0,433683079
Curva_CLF_CL;9675;0,421102288
Curva_CLF_CL;9859;0,408448002
Curva_CLF_CL;10040;0,396104734
Curva_CLF_CL;10224;0,383742493
Curva_CLF_CL;10405;0,371773681
Curva_CLF_CL;10591;0,359712178
Curva_CLF_CL;10773;0,348096657
Curva_CLF_CL;10955;0,336744261
CURVA_TABCLF1Y;1;1,000050886
CURVA_TABCLF1Y;2;1,000101765
CURVA_TABCLF1Y;344;0,970999712
CURVA_TABCLF1Y;527;0,95568111
CURVA_TABCLF1Y;709;0,940822059
CURVA_TABCLF1Y;1074;0,928203891
CURVA_TABCLF1Y;1441;0,923319411
CURVA_TABCLF1Y;1805;0,918234382
CURVA_TABCLF1Y;2170;0,906583115
CURVA_TABCLF1Y;2535;0,891490923
CURVA_TABCLF1Y;2901;0,878599878
CURVA_TABCLF1Y;3268;0,866194086
CURVA_TABCLF1Y;3632;0,848639763
CURVA_TABCLF1Y;4362;0,808008034
CURVA_TABCLF1Y;5459;0,751090979
CURVA_TABCLF1Y;7286;0,646829961
CURVA_TABCLF3M;1;1,000081498
CURVA_TABCLF3M;2;1,000162995
CURVA_TABCLF3M;71;1,002935112
CURVA_TABCLF3M;162;0,994746685
CURVA_TABCLF3M;344;0,970002602
CURVA_TABCLF3M;527;0,957201603
CURVA_TABCLF3M;709;0,942670445
CURVA_TABCLF3M;1074;0,930770968
CURVA_TABCLF3M;1441;0,926598481
CURVA_TABCLF3M;1805;0,922207117
CURVA_TABCLF3M;2170;0,911215856
CURVA_TABCLF3M;2535;0,896730899
CURVA_TABCLF3M;2901;0,884454904
CURVA_TABCLF3M;3268;0,872655568
CURVA_TABCLF3M;3632;0,855632417
CURVA_TABCLF3M;4362;0,815905265
CURVA_TABCLF3M;5459;0,760166865
CURVA_TABCLF3M;7286;0,657123529
CURVA_TABCLF6M;1;1,000053151
CURVA_TABCLF6M;2;1,000106297
CURVA_TABCLF6M;162;0,992480954
CURVA_TABCLF6M;344;0,968888381
CURVA_TABCLF6M;527;0,955825793
CURVA_TABCLF6M;709;0,940963183
CURVA_TABCLF6M;1074;0,928581729
CURVA_TABCLF6M;1441;0,923928076
CURVA_TABCLF6M;1805;0,919069396
CURVA_TABCLF6M;2170;0,907640545
CURVA_TABCLF6M;2535;0,892752938
CURVA_TABCLF6M;2901;0,880071162
CURVA_TABCLF6M;3268;0,867873277
CURVA_TABCLF6M;3632;0,850504805
CURVA_TABCLF6M;4362;0,810189924
CURVA_TABCLF6M;5459;0,753686587
CURVA_TABCLF6M;7286;0,649873306
CURVA_TABCLP1M;1;0,999695226
CURVA_TABCLP1M;2;0,999390547
CURVA_TABCLP1M;34;0,989689635
CURVA_TABCLP1M;94;0,971978333
CURVA_TABCLP1M;188;0,944450228
CURVA_TABCLP1M;367;0,897734921
CURVA_TABCLP1M;552;0,860050452
CURVA_TABCLP1M;734;0,818506159
CURVA_TABCLP1M;1098;0,768331873
CURVA_TABCLP1M;1463;0,733899961
